ID_ENTIDAD,ENTIDAD,ID_DISTRITO_FEDERAL,DISTRITO_FEDERAL,SECCION,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PAN_PRI_PRD,PAN_PRD,PAN_PRI,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL,PAN_PERCENTAGE,PRI_PERCENTAGE,PRD_PERCENTAGE,PVEM_PERCENTAGE,PT_PERCENTAGE,MC_PERCENTAGE,MORENA_PERCENTAGE,PAN_PRI_PRD_PERCENTAGE,PAN_PRD_PERCENTAGE,PAN_PRI_PERCENTAGE,PRI_PRD_PERCENTAGE,PVEM_PT_MORENA_PERCENTAGE,PVEM_PT_PERCENTAGE,PVEM_MORENA_PERCENTAGE,PT_MORENA_PERCENTAGE,CANDIDATO/A NO REGISTRADO/A_PERCENTAGE,VOTOS NULOS_PERCENTAGE,PARTICIPATION_PERCENTAGE
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2415,233,56,19,22,26,58,249,38,0,2,0,41,2,7,3,7,18,781,1048,29.833546734955185,7.170294494238156,2.4327784891165174,2.8169014084507045,3.329065300896287,7.426376440460948,31.88220230473752,4.865556978233035,0.0,0.2560819462227913,0.0,5.249679897567221,0.2560819462227913,0.8962868117797695,0.3841229193341869,0.8962868117797695,2.3047375160051216,74.52290076335878
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2416,136,30,13,26,28,51,270,21,0,2,0,25,0,7,9,1,8,627,848,21.690590111642745,4.784688995215311,2.073365231259968,4.146730462519936,4.4657097288676235,8.133971291866029,43.0622009569378,3.349282296650718,0.0,0.3189792663476874,0.0,3.9872408293460926,0.0,1.1164274322169059,1.4354066985645932,0.1594896331738437,1.2759170653907497,73.93867924528303
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2417,105,35,4,24,9,32,178,9,0,0,0,18,1,2,3,0,3,423,609,24.822695035460992,8.274231678486997,0.9456264775413712,5.673758865248227,2.127659574468085,7.5650118203309695,42.08037825059102,2.127659574468085,0.0,0.0,0.0,4.25531914893617,0.2364066193853428,0.4728132387706856,0.7092198581560284,0.0,0.7092198581560284,69.45812807881774
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2418,145,48,15,39,33,72,242,10,1,6,0,28,3,3,8,1,9,663,950,21.87028657616893,7.239819004524888,2.262443438914027,5.88235294117647,4.97737556561086,10.85972850678733,36.50075414781297,1.5082956259426847,0.1508295625942685,0.904977375565611,0.0,4.223227752639517,0.4524886877828055,0.4524886877828055,1.206636500754148,0.1508295625942685,1.3574660633484164,69.78947368421052
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2419,181,32,12,24,14,55,219,13,3,2,0,18,1,1,2,2,9,588,829,30.782312925170068,5.442176870748299,2.0408163265306123,4.081632653061225,2.380952380952381,9.35374149659864,37.244897959183675,2.2108843537414966,0.5102040816326531,0.3401360544217687,0.0,3.061224489795918,0.17006802721088435,0.17006802721088435,0.3401360544217687,0.3401360544217687,1.530612244897959,70.92882991556093
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2420,205,54,10,26,17,64,293,29,1,2,0,26,2,4,7,0,13,753,1018,27.224435590969453,7.171314741035857,1.3280212483399734,3.4528552456839305,2.257636122177955,8.49933598937583,38.91102257636122,3.851261620185923,0.13280212483399734,0.2656042496679947,0.0,3.4528552456839305,0.2656042496679947,0.5312084993359893,0.9296148738379815,0.0,1.7264276228419653,73.96856581532415
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2421,191,56,20,47,33,82,388,23,2,3,0,56,8,9,9,0,19,946,1405,20.190274841437635,5.9196617336152215,2.1141649048625792,4.968287526427061,3.488372093023256,8.668076109936575,41.014799154334035,2.431289640591966,0.21141649048625794,0.3171247357293869,0.0,5.9196617336152215,0.8456659619450317,0.9513742071881607,0.9513742071881607,0.0,2.00845665961945,67.33096085409252
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2422,196,34,5,18,5,69,164,19,0,2,0,17,2,0,3,0,7,541,750,36.22920517560074,6.284658040665435,0.9242144177449169,3.3271719038817005,0.9242144177449169,12.754158964879853,30.31423290203327,3.512014787430684,0.0,0.36968576709796674,0.0,3.1423290203327174,0.36968576709796674,0.0,0.5545286506469501,0.0,1.2939001848428837,72.13333333333334
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2423,127,39,12,18,19,67,272,23,2,2,0,27,1,2,1,5,15,632,833,20.094936708860757,6.170886075949367,1.89873417721519,2.848101265822785,3.0063291139240507,10.601265822784809,43.037974683544306,3.6392405063291138,0.31645569620253167,0.31645569620253167,0.0,4.272151898734177,0.15822784810126583,0.31645569620253167,0.15822784810126583,0.7911392405063291,2.3734177215189876,75.87034813925571
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2424,164,53,12,44,21,73,313,23,0,3,0,37,0,2,7,4,15,771,1090,21.27107652399481,6.8741893644617384,1.556420233463035,5.706874189364462,2.7237354085603114,9.46822308690013,40.59662775616083,2.9831387808041505,0.0,0.38910505836575876,0.0,4.798962386511025,0.0,0.25940337224383914,0.9079118028534372,0.5188067444876783,1.9455252918287937,70.73394495412843
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2425,200,42,12,45,43,107,553,34,3,2,0,64,2,13,10,1,32,1163,1655,17.196904557179707,3.611349957007739,1.0318142734307825,3.869303525365434,3.697334479793637,9.200343938091143,47.54944110060189,2.9234737747205504,0.2579535683576956,0.17196904557179707,0.0,5.503009458297506,0.17196904557179707,1.117798796216681,0.8598452278589854,0.08598452278589853,2.751504729148753,70.27190332326285
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2426,244,47,11,22,20,51,255,17,2,2,1,28,1,5,0,0,10,716,922,34.07821229050279,6.564245810055866,1.536312849162011,3.072625698324022,2.793296089385475,7.12290502793296,35.614525139664806,2.3743016759776534,0.27932960893854747,0.27932960893854747,0.13966480446927373,3.910614525139665,0.13966480446927373,0.6983240223463687,0.0,0.0,1.3966480446927374,77.65726681127983
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2427,79,17,6,20,20,38,245,12,0,2,0,38,0,4,1,0,16,498,724,15.863453815261044,3.413654618473896,1.2048192771084338,4.016064257028113,4.016064257028113,7.630522088353414,49.19678714859438,2.4096385542168677,0.0,0.4016064257028112,0.0,7.630522088353414,0.0,0.8032128514056224,0.2008032128514056,0.0,3.2128514056224895,68.78453038674033
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2428,38,22,10,19,24,40,202,4,0,0,0,22,1,5,3,0,7,397,582,9.571788413098236,5.541561712846348,2.518891687657431,4.785894206549118,6.045340050377834,10.075566750629724,50.88161209068011,1.0075566750629723,0.0,0.0,0.0,5.541561712846348,0.2518891687657431,1.2594458438287155,0.7556675062972292,0.0,1.7632241813602016,68.21305841924399
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2429,252,78,19,27,23,86,284,47,0,2,1,32,3,6,2,1,17,880,1180,28.636363636363637,8.863636363636363,2.159090909090909,3.0681818181818183,2.6136363636363633,9.772727272727273,32.27272727272727,5.340909090909091,0.0,0.22727272727272727,0.11363636363636363,3.6363636363636362,0.3409090909090909,0.6818181818181818,0.22727272727272727,0.11363636363636363,1.9318181818181817,74.57627118644068
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2430,240,61,8,29,31,66,301,10,0,3,0,54,1,14,9,0,16,843,1196,28.46975088967972,7.236061684460261,0.9489916963226572,3.4400948991696323,3.6773428232502967,7.829181494661921,35.705812574139976,1.1862396204033214,0.0,0.3558718861209964,0.0,6.405693950177936,0.11862396204033215,1.6607354685646498,1.0676156583629894,0.0,1.8979833926453145,70.48494983277592
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2431,187,42,16,29,23,58,242,31,1,2,1,40,3,10,4,0,19,708,930,26.412429378531073,5.932203389830509,2.2598870056497176,4.096045197740112,3.248587570621469,8.192090395480225,34.18079096045198,4.378531073446328,0.14124293785310735,0.2824858757062147,0.14124293785310735,5.649717514124294,0.423728813559322,1.4124293785310735,0.5649717514124294,0.0,2.6836158192090394,76.12903225806451
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2432,266,74,21,37,35,89,482,29,2,3,0,44,3,8,13,0,23,1129,1546,23.560673162090346,6.554472984942426,1.8600531443755535,3.277236492471213,3.100088573959256,7.883082373782107,42.69264836138175,2.568644818423383,0.1771479185119575,0.2657218777679362,0.0,3.8972542072630643,0.2657218777679362,0.70859167404783,1.1514614703277237,0.0,2.0372010628875112,73.02716688227684
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2433,302,71,29,33,31,101,496,26,1,8,0,44,1,7,10,2,14,1176,1502,25.68027210884354,6.037414965986394,2.465986394557823,2.806122448979592,2.6360544217687076,8.58843537414966,42.17687074829932,2.2108843537414966,0.08503401360544217,0.6802721088435374,0.0,3.741496598639456,0.08503401360544217,0.5952380952380952,0.8503401360544218,0.17006802721088435,1.1904761904761905,78.29560585885486
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2434,278,56,14,11,23,26,240,26,0,6,0,26,0,4,5,1,11,727,954,38.239339752407155,7.702888583218708,1.925722145804677,1.5130674002751032,3.1636863823933976,3.576341127922971,33.012379642365886,3.576341127922971,0.0,0.8253094910591471,0.0,3.576341127922971,0.0,0.5502063273727648,0.6877579092159559,0.1375515818431912,1.5130674002751032,76.20545073375263
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2435,210,49,8,15,14,48,184,21,2,3,1,15,0,2,2,1,11,586,754,35.83617747440273,8.361774744027302,1.3651877133105803,2.5597269624573378,2.3890784982935154,8.19112627986348,31.399317406143346,3.583617747440273,0.3412969283276451,0.5119453924914675,0.17064846416382254,2.5597269624573378,0.0,0.3412969283276451,0.3412969283276451,0.17064846416382254,1.877133105802048,77.71883289124668
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2436,305,94,31,46,40,112,450,34,4,5,0,53,1,10,10,4,25,1224,1659,24.91830065359477,7.6797385620915035,2.5326797385620914,3.758169934640523,3.2679738562091507,9.15032679738562,36.76470588235294,2.7777777777777777,0.32679738562091504,0.40849673202614384,0.0,4.330065359477124,0.08169934640522876,0.8169934640522877,0.8169934640522877,0.32679738562091504,2.042483660130719,73.77938517179024
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2437,175,57,24,33,23,76,349,25,1,5,0,32,0,6,1,0,20,827,1079,21.16082224909311,6.892382103990327,2.902055622732769,3.990326481257558,2.781136638452237,9.189842805320435,42.20072551390569,3.0229746070133015,0.12091898428053204,0.6045949214026602,0.0,3.869407496977025,0.0,0.7255139056831923,0.12091898428053204,0.0,2.418379685610641,76.64504170528267
9,CIUDAD DE MÉXICO,19.0,COYOACÁN,2438,183,42,18,32,18,75,332,25,2,3,0,44,1,7,6,1,17,806,1071,22.70471464019851,5.2109181141439205,2.2332506203473943,3.970223325062035,2.2332506203473943,9.305210918114144,41.19106699751861,3.101736972704715,0.24813895781637718,0.37220843672456577,0.0,5.459057071960298,0.12406947890818859,0.8684863523573202,0.7444168734491315,0.12406947890818859,2.109181141439206,75.25676937441644
